"season","opp","quarter","result","top","plays","yards"
"1987","Clemson","1","PUNT",151,4,3
"1987","Clemson","1","FG",196,7,27
"1987","Clemson","2","INT",44,2,2
"1987","Clemson","2","PUNT",63,3,7
"1987","Clemson","2","PUNT",115,3,1
"1987","Clemson","2","PUNT",87,3,1
"1987","Clemson","2","HALF",2,0,0
"1987","Clemson","3","PUNT",196,5,11
"1987","Clemson","3","FUMB",161,6,-4
"1987","Clemson","3","PUNT",52,3,4
"1987","Clemson","3","FUMB",96,4,20
"1987","Clemson","4","PUNT",224,5,-14
"1987","Clemson","4","TD",0,0,0
"1987","Clemson","4","DOWNS",51,4,0
"1987","Clemson","4","PUNT",103,6,4
"1987","Virginia","1","PUNT",86,4,18
"1987","Virginia","1","FGA",227,9,27
"1987","Virginia","2","FGA",77,4,0
"1987","Virginia","2","TD",495,16,66
"1987","Virginia","2","HALF",33,2,-6
"1987","Virginia","3","PUNT",223,6,-3
"1987","Virginia","3","PUNT",186,6,27
"1987","Virginia","3","INT",39,2,1
"1987","Virginia","4","FGA",258,10,45
"1987","Virginia","4","DOWNS",173,8,44
"1987","Virginia","4","TD",149,5,60
"1987","Virginia","4","HALF",21,3,5
"1987","Syracuse","1","TD",50,3,9
"1987","Syracuse","1","INT",154,5,16
"1987","Syracuse","1","PUNT",90,3,5
"1987","Syracuse","2","PUNT",54,3,0
"1987","Syracuse","2","TD",0,0,0
"1987","Syracuse","2","PUNT",149,8,28
"1987","Syracuse","2","FGA",72,6,8
"1987","Syracuse","3","PUNT",301,8,29
"1987","Syracuse","3","PUNT",170,6,2
"1987","Syracuse","3","INT",17,1,0
"1987","Syracuse","4","PUNT",109,3,4
"1987","Syracuse","4","PUNT",75,3,2
"1987","Syracuse","4","PUNT",97,3,1
"1987","Syracuse","4","HALF",100,8,46
"1987","Navy","1","TD",247,10,64
"1987","Navy","2","TD",510,18,80
"1987","Navy","2","HALF",6,1,1
"1987","Navy","3","TD",114,4,77
"1987","Navy","3","PUNT",150,5,16
"1987","Navy","3","PUNT",119,3,-3
"1987","Navy","3","PUNT",131,4,14
"1987","Navy","4","FG",103,4,6
"1987","Navy","4","INT",43,2,2
"1987","Navy","4","TD",0,0,0
"1987","Navy","4","HALF",3,0,0
"1987","South Carolina","1","PUNT",250,6,25
"1987","South Carolina","1","PUNT",88,3,4
"1987","South Carolina","1","PUNT",105,5,17
"1987","South Carolina","2","TD",214,8,42
"1987","South Carolina","2","PUNT",37,3,6
"1987","South Carolina","2","INT",105,4,16
"1987","South Carolina","2","FG",123,8,24
"1987","South Carolina","3","PUNT",91,3,8
"1987","South Carolina","3","FGA",174,8,46
"1987","South Carolina","3","INT",58,3,2
"1987","South Carolina","4","PUNT",125,3,-1
"1987","South Carolina","4","PUNT",93,3,-8
"1987","South Carolina","4","PUNT",166,3,-6
"1987","East Carolina","1","TD",157,6,73
"1987","East Carolina","2","TD",353,11,65
"1987","East Carolina","2","PUNT",112,3,3
"1987","East Carolina","2","INT",92,5,22
"1987","East Carolina","3","DOWNS",126,4,9
"1987","East Carolina","3","TD",179,7,80
"1987","East Carolina","3","PUNT",85,3,6
"1987","East Carolina","4","INT",156,5,9
"1987","East Carolina","4","PUNT",238,6,18
"1987","East Carolina","4","FUMB",99,7,39
"1987","East Carolina","4","HALF",33,3,0
"1987","Tulane","1","INT",16,1,0
"1987","Tulane","1","PUNT",67,3,9
"1987","Tulane","1","PUNT",108,3,7
"1987","Tulane","2","PUNT",118,3,6
"1987","Tulane","2","TD",52,2,71
"1987","Tulane","2","INT",160,7,52
"1987","Tulane","2","HALF",15,2,15
"1987","Tulane","3","FG",300,11,50
"1987","Tulane","3","PUNT",69,3,1
"1987","Tulane","3","TD",312,12,98
"1987","Tulane","4","FUMB",7,0,0
"1987","Tulane","4","TD",158,7,63
"1987","Tulane","4","TD",150,7,34
"1987","Tulane","4","TD",285,13,60
"1987","Kentucky","1","PUNT",117,3,2
"1987","Kentucky","1","PUNT",133,3,-3
"1987","Kentucky","1","PUNT",189,6,17
"1987","Kentucky","1","PUNT",91,3,0
"1987","Kentucky","2","PUNT",126,3,9
"1987","Kentucky","2","PUNT",136,3,8
"1987","Kentucky","2","PUNT",51,3,-19
"1987","Kentucky","2","PUNT",111,3,-3
"1987","Kentucky","3","INT",173,5,16
"1987","Kentucky","3","FGA",496,15,45
"1987","Kentucky","4","PUNT",135,6,18
"1987","Kentucky","4","DOWNS",165,7,19
"1987","Kentucky","4","TD",78,8,36
"1987","Kentucky","4","INT",32,3,0
"1987","West Virginia","1","FUMB",76,3,7
"1987","West Virginia","1","PUNT",59,3,5
"1987","West Virginia","2","PUNT",146,5,21
"1987","West Virginia","2","TD",186,7,30
"1987","West Virginia","2","PUNT",150,5,24
"1987","West Virginia","2","PUNT",31,3,-4
"1987","West Virginia","3","PUNT",114,3,-3
"1987","West Virginia","3","FGA",148,4,7
"1987","West Virginia","3","PUNT",55,3,7
"1987","West Virginia","4","PUNT",162,3,-3
"1987","West Virginia","4","TD",177,9,76
"1987","West Virginia","4","DOWNS",68,6,12
"1987","West Virginia","4","HALF",0,0,0
"1987","Miami","1","PUNT",221,7,30
"1987","Miami","2","TD",291,9,48
"1987","Miami","2","FG",255,11,64
"1987","Miami","3","PUNT",106,3,6
"1987","Miami","3","PUNT",78,3,7
"1987","Miami","3","FG",269,9,33
"1987","Miami","3","PUNT",293,9,43
"1987","Miami","4","DOWNS",177,6,4
"1987","Miami","4","DOWNS",34,4,0
"1987","Cincinnati","1","TD",395,12,80
"1987","Cincinnati","2","FGA",329,10,41
"1987","Cincinnati","2","FUMB",182,6,27
"1987","Cincinnati","2","HALF",14,1,4
"1987","Cincinnati","3","FUMB",244,8,25
"1987","Cincinnati","3","PUNT",232,8,36
"1987","Cincinnati","4","TD",91,4,53
"1987","Cincinnati","4","HALF",207,8,27
"1988","Clemson","1","PUNT",80,3,1
"1988","Clemson","1","PUNT",97,3,3
"1988","Clemson","2","TD",320,12,67
"1988","Clemson","2","PUNT",91,3,-6
"1988","Clemson","2","FUMB",74,6,3
"1988","Clemson","2","HALF",16,2,-8
"1988","Clemson","3","INT",94,4,13
"1988","Clemson","3","PUNT",267,11,33
"1988","Clemson","3","INT",199,7,21
"1988","Clemson","4","PUNT",163,6,24
"1988","Clemson","4","FUMB",91,3,-6
"1988","Clemson","4","DOWNS",165,10,53
"1988","Clemson","4","DOWNS",59,6,12
"1988","East Carolina","1","PUNT",151,6,14
"1988","East Carolina","2","FUMB",60,3,14
"1988","East Carolina","2","TD",268,10,67
"1988","East Carolina","2","FG",172,11,55
"1988","East Carolina","3","FG",316,13,72
"1988","East Carolina","3","FUMB",51,3,29
"1988","East Carolina","3","PUNT",78,3,3
"1988","East Carolina","4","PUNT",117,3,4
"1988","East Carolina","4","TD",155,5,43
"1988","East Carolina","4","FUMB",69,3,-16
"1988","East Carolina","4","DOWNS",166,8,28
"1988","Southern Miss","1","FG",341,13,42
"1988","Southern Miss","2","PUNT",118,5,19
"1988","Southern Miss","2","FG",160,7,22
"1988","Southern Miss","2","PUNT",122,3,-1
"1988","Southern Miss","2","HALF",51,1,3
"1988","Southern Miss","3","PUNT",125,7,29
"1988","Southern Miss","3","PUNT",220,6,-6
"1988","Southern Miss","3","FUMB",157,5,27
"1988","Southern Miss","3","DOWNS",225,10,30
"1988","Southern Miss","4","PUNT",85,3,4
"1988","Southern Miss","4","PUNT",85,5,1
"1988","Southern Miss","4","DOWNS",64,6,20
"1988","Southern Miss","4","HALF",20,2,-10
"1988","Syracuse","1","PUNT",57,3,-4
"1988","Syracuse","1","PUNT",90,3,2
"1988","Syracuse","2","PUNT",107,4,-3
"1988","Syracuse","2","PUNT",109,3,8
"1988","Syracuse","2","PUNT",52,3,0
"1988","Syracuse","2","PUNT",82,3,6
"1988","Syracuse","2","FGA",160,10,58
"1988","Syracuse","2","INT",29,3,-14
"1988","Syracuse","3","PUNT",77,3,7
"1988","Syracuse","3","PUNT",145,6,-5
"1988","Syracuse","3","INT",48,2,8
"1988","Syracuse","3","PUNT",105,6,11
"1988","Syracuse","4","INT",173,7,27
"1988","Syracuse","4","DOWNS",166,7,41
"1988","Syracuse","4","PUNT",78,3,0
"1988","Syracuse","4","PUNT",72,3,3
"1988","West Virginia","1","PUNT",69,3,4
"1988","West Virginia","1","PUNT",80,3,-6
"1988","West Virginia","1","PUNT",83,3,-2
"1988","West Virginia","2","PUNT",115,3,8
"1988","West Virginia","2","PUNT",105,4,11
"1988","West Virginia","2","FG",78,4,7
"1988","West Virginia","2","PUNT",83,3,8
"1988","West Virginia","2","HALF",69,6,21
"1988","West Virginia","3","INT",44,2,4
"1988","West Virginia","3","PUNT",81,3,6
"1988","West Virginia","3","DOWNS",143,5,59
"1988","West Virginia","3","TD",0,0,0
"1988","West Virginia","3","PUNT",202,7,31
"1988","West Virginia","4","DOWNS",238,11,51
"1988","West Virginia","4","PUNT",81,3,-12
"1988","South Carolina","1","PUNT",66,3,2
"1988","South Carolina","1","TD",150,8,84
"1988","South Carolina","1","PUNT",208,6,-2
"1988","South Carolina","2","PUNT",88,3,-17
"1988","South Carolina","2","INT",107,5,25
"1988","South Carolina","2","PUNT",76,3,-5
"1988","South Carolina","2","TD",0,0,0
"1988","South Carolina","2","TD",0,0,0
"1988","South Carolina","2","HALF",0,0,0
"1988","South Carolina","3","FG",179,11,49
"1988","South Carolina","3","FUMB",8,1,16
"1988","South Carolina","3","PUNT",56,3,5
"1988","South Carolina","3","FGA",88,4,2
"1988","South Carolina","3","FUMB",69,3,10
"1988","South Carolina","4","PUNT",62,3,-5
"1988","South Carolina","4","PUNT",88,3,-4
"1988","South Carolina","4","PUNT",86,3,7
"1988","South Carolina","4","PUNT",87,3,-4
"1988","South Carolina","4","INT",121,5,0
"1988","South Carolina","4","INT",9,1,0
"1988","Cincinnati","1","FG",207,10,29
"1988","Cincinnati","1","PUNT",147,5,17
"1988","Cincinnati","1","TD",207,11,80
"1988","Cincinnati","2","DOWNS",148,7,19
"1988","Cincinnati","2","PUNT",249,8,14
"1988","Cincinnati","2","FUMB",95,7,45
"1988","Cincinnati","3","TD",182,7,34
"1988","Cincinnati","3","PUNT",78,3,5
"1988","Cincinnati","3","TD",37,2,5
"1988","Cincinnati","3","PUNT",82,3,4
"1988","Cincinnati","3","FG",127,4,-5
"1988","Cincinnati","4","TD",94,5,61
"1988","Cincinnati","4","TD",258,10,33
"1988","Cincinnati","4","PUNT",108,3,3
"1988","Cincinnati","4","PUNT",88,3,8
"1988","Virginia","1","PUNT",46,3,0
"1988","Virginia","1","PUNT",62,3,0
"1988","Virginia","2","TD",235,7,84
"1988","Virginia","2","INT",113,6,33
"1988","Virginia","2","INT",92,4,54
"1988","Virginia","2","HALF",31,3,67
"1988","Virginia","3","FGA",296,13,46
"1988","Virginia","3","PUNT",214,8,26
"1988","Virginia","3","FGA",76,11,56
"1988","Virginia","4","PUNT",106,3,-11
"1988","Virginia","4","PUNT",142,7,9
"1988","Virginia","4","INT",33,4,0
"1988","Louisville","1","PUNT",131,4,19
"1988","Louisville","1","FUMB",141,6,41
"1988","Louisville","2","FG",157,7,16
"1988","Louisville","2","PUNT",250,8,37
"1988","Louisville","2","PUNT",178,9,24
"1988","Louisville","2","HALF",26,1,2
"1988","Louisville","3","PUNT",102,3,-9
"1988","Louisville","3","PUNT",173,6,21
"1988","Louisville","3","PUNT",351,11,36
"1988","Louisville","4","INT",28,2,-6
"1988","Louisville","4","PUNT",90,3,-8
"1988","Louisville","4","FUMB",39,4,15
"1988","Louisville","4","FUMB",0,0,2
"1988","Louisville","4","HALF",76,7,17
"1988","Florida State","1","DOWNS",186,8,31
"1988","Florida State","1","PUNT",172,8,39
"1988","Florida State","2","TD",127,5,63
"1988","Florida State","2","PUNT",171,3,5
"1988","Florida State","2","PUNT",184,6,19
"1988","Florida State","2","INT",42,3,12
"1988","Florida State","3","INT",33,2,15
"1988","Florida State","3","PUNT",109,3,2
"1988","Florida State","3","PUNT",87,3,5
"1988","Florida State","4","DOWNS",113,4,9
"1988","Florida State","4","PUNT",92,3,5
"1988","Florida State","4","TD",229,10,88
"1988","Florida State","4","PUNT",58,3,5
"1988","James Madison","1","PUNT",55,3,8
"1988","James Madison","1","FUMB",5,1,-1
"1988","James Madison","1","DOWNS",131,5,17
"1988","James Madison","1","PUNT",191,7,21
"1988","James Madison","2","FG",222,8,29
"1988","James Madison","2","FG",164,11,68
"1988","James Madison","3","TD",178,7,80
"1988","James Madison","3","PUNT",235,10,46
"1988","James Madison","3","TD",229,11,51
"1988","James Madison","4","TD",260,10,77
